feedback,character_count,word_count,sentiment,sentiment_confidence
", i found the buying process ly efficient, though the return pickup was delayed but manageable",94,16,positive,0.7976
", the delivery experience turned out to be slightly disappointing, but customer care took time to respond but manageable",120,19,negative,0.8726
", the experience was slow at times, though the invoice was not easy to access but manageable",92,17,negative,0.7775
", billing and payment were not very impressive, but communication from support could be better and needs some improvement",121,19,negative,0.8457
"my interaction with customer care was frustrating, and refund processing was slower than promised which slightly affected my experience",135,19,negative,0.9206
", the ordering experience felt slow at times, though the invoice was not easy to access",87,16,negative,0.8273
"from browsing to delivery, the experience was fairly efficient, but coupon application did not work properly",108,16,neutral,0.4496
"Goood, liked itt",16,3,positive,0.9687
"the checkout process seemed average, and the app froze briefly during checkout but not a major concern",102,17,neutral,0.4867
", the ordering experience felt quite good, and tracking updates were not regular",80,13,positive,0.9489
", customer support was not very impressive, though everything worked fine",73,11,negative,0.8243
"billing and payment were mostly fine, but customer care took time to respond",76,13,positive,0.6361
", the checkout process seemed slightly disappointing",52,7,negative,0.888
"from browsing to delivery, the experience was smooth",52,8,positive,0.9054
"customer support was a bit confusing, and refund processing was slower than promised but not a major concern",108,18,negative,0.8237
", the delivery experience turned out to be worse than expected, but communication from support could be better",110,18,negative,0.8985
"the checkout process seemed worse than expected, but communication from support could be better",95,14,negative,0.8632
"From my experience, using the app was mostly fine, but communication from support could be better",97,16,positive,0.5699
", using the app was a bit confusing, and the app froze briefly during checkout",78,15,negative,0.7045
"billing and payment were mostly fine, though support eventually resolved the issue",82,12,positive,0.5216
"from browsing to delivery, the experience was decent, though support eventually resolved the issue but not a major concern",122,19,positive,0.7634
", the ordering experience felt inconsistent, though the return pickup was delayed and needs some improvement",108,16,negative,0.8796
"the delivery experience turned out ly efficient, but payment failed once before succeeding and needs some improvement",117,17,neutral,0.4532
"using the app was average, though the delivery was delayed by a couple of days",78,15,negative,0.7543
"from browsing to delivery, the experience was average, though the invoice was not easy to access",96,16,negative,0.8011
"From my experience, billing and payment were satisfactory, but billing had a small discrepancy but not a major concern",118,19,positive,0.6893
"billing and payment were a bit confusing, and the app froze briefly during checkout",83,14,negative,0.741
", i found the buying process to be average, and refund processing was slower than promised but manageable",105,18,negative,0.723
", using the app was slow at times, though support eventually resolved the issue",79,14,negative,0.6006
", my interaction with customer care was mostly fine, though the delivery was delayed by a couple of days which could be improved",128,23,positive,0.6127
"using the app was inconsistent, and the app froze briefly during checkout but manageable",88,14,negative,0.7019
The delivery was delayed by a couple of days,44,9,negative,0.7312
"my interaction with customer care was not very impressive, but coupon application did not work properly but not a major concern",127,21,negative,0.9024
"From my experience, the delivery experience turned out to be slightly disappointing, and the app froze briefly during checkout but manageable",141,21,negative,0.8878
", the experience was pleasant, but billing had a small discrepancy",66,11,positive,0.9086
"the ordering experience felt not very impressive, and refund processing was slower than promised",96,14,negative,0.9249
", my interaction with customer care was smooth, though the invoice was not easy to access and needs some improvement",116,20,neutral,0.437
"using the app was better than expected, and refund processing was slower than promised",86,14,positive,0.8943
"From my experience, using the app was not very impressive, and the app froze briefly during checkout and needs some improvement",127,21,negative,0.9057
", from browsing to delivery, the experience was a bit confusing, and the app froze briefly during checkout but manageable",121,20,negative,0.6366
", the experience was decent, and the final billed amount differed slightly",74,12,positive,0.9219
"customer support was a bit confusing, but coupon application did not work properly which slightly affected my experience",120,18,negative,0.9047
", using the app was better than expected, and the final billed amount differed slightly",87,15,positive,0.9409
", the delivery experience turned out to be worse than expected, though the invoice was not easy to access but manageable",120,21,negative,0.9223
"billing and payment were average, though support eventually resolved the issue and needs some improvement",105,15,neutral,0.5052
"the delivery experience turned out to be smooth, but billing had a small discrepancy but manageable",99,16,positive,0.8673
", the checkout process seemed mostly fine, but coupon application did not work properly",87,14,negative,0.6921
"From my experience, customer support was average, though everything worked fine but not a major concern",103,16,negative,0.4843
", the delivery experience turned out to be satisfactory, though everything worked fine and needs some improvement",113,17,positive,0.9484
", the ordering experience felt pleasant, and the app froze briefly during checkout but not a major concern",106,18,positive,0.8417
", customer support was mostly fine, and the app froze briefly during checkout which slightly affected my experience",115,18,positive,0.4662
", customer support was better than expected, and tracking updates were not regular which could be improved",106,17,positive,0.9011
"customer support was slightly disappointing, though support eventually resolved the issue",89,11,negative,0.8244
", i found the buying process to be decent, and the final billed amount differed slightly",88,16,positive,0.7924
"from browsing to delivery, the experience was a bit confusing, though the invoice was not easy to access",104,18,negative,0.6976
", the experience was smooth, though everything worked fine",58,9,positive,0.9054
", my interaction with customer care was better than expected, though the delivery was delayed by a couple of days but not a major concern",137,25,positive,0.8182
", billing and payment were not very impressive, though support eventually resolved the issue but not a major concern",116,19,negative,0.846
"i found the buying process to be average, but payment failed once before succeeding which could be improved",107,18,negative,0.8608
", from browsing to delivery, the experience was decent, though everything worked fine",85,13,positive,0.9451
"From my experience, my interaction with customer care was fairly efficient, and the app froze briefly during checkout",117,18,positive,0.7777
", billing and payment were inconsistent, but payment failed once before succeeding",82,12,negative,0.7468
"the checkout process seemed satisfactory, though the delivery was delayed by a couple of days",93,15,positive,0.7756
", the ordering experience felt slightly disappointing, though the return pickup was delayed which could be improved",115,17,negative,0.9038
", the checkout process seemed decent, though the delivery was delayed by a couple of days which slightly affected my experience",127,21,neutral,0.4023
"i found the buying process to be satisfactory, and the app froze briefly during checkout",88,15,positive,0.6888
", using the app was satisfactory, and the app lagged during checkout which could be improved",92,16,positive,0.7693
"From my experience, the ordering experience felt smooth, though support eventually resolved the issue",101,14,positive,0.7174
", the delivery experience turned out to be a bit confusing, and tracking updates were not regular but not a major concern",121,22,negative,0.755
"my interaction with customer care was worse than expected, and the app froze briefly during checkout but not a major concern",124,21,negative,0.8972
"from browsing to delivery, the experience was slightly disappointing, though the return pickup was delayed",106,15,negative,0.8908
"billing and payment were not very impressive, though the return pickup was delayed",82,13,negative,0.9016
"customer support was worse than expected, but coupon application did not work properly which slightly affected my experience",124,18,negative,0.9421
"the delivery experience turned out to be quite good, though the invoice was not easy to access but not a major concern",118,22,positive,0.8977
"using the app was decent, though everything worked fine but not a major concern",79,14,positive,0.8384
"the checkout process seemed inconsistent, but payment failed once before succeeding but manageable",98,13,negative,0.7345
", using the app was pleasant, though the delivery was delayed by a couple of days",81,16,positive,0.8469
"my interaction with customer care was decent, though support eventually resolved the issue",90,13,positive,0.7475
"billing and payment were worse than expected, but coupon application did not work properly",90,14,negative,0.938
"the delivery experience turned out to be satisfactory, but payment failed once before succeeding",96,14,positive,0.6068
", the delivery experience turned out to be smooth, though the return pickup was delayed",87,15,positive,0.879
"From my experience, i found the buying process ly efficient, though support eventually resolved the issue but not a major concern",129,21,positive,0.5567
", billing and payment were average, but communication from support could be better but not a major concern",106,18,negative,0.6866
", the ordering experience felt frustrating, though the delivery was delayed by a couple of days which could be improved",119,20,negative,0.9049
"From my experience, billing and payment were slightly disappointing, and the app lagged during checkout",103,15,negative,0.9122
", my interaction with customer care was inconsistent, but billing had a small discrepancy",89,14,negative,0.6795
", the delivery experience turned out to be decent, but communication from support could be better and needs some improvement",124,20,positive,0.8615
", the delivery experience turned out ly efficient, but customer care took time to respond and needs some improvement",116,19,positive,0.4353
", the delivery experience turned out to be slightly disappointing, but payment failed once before succeeding",108,16,negative,0.8814
", the delivery experience turned out to be worse than expected, and the app lagged during checkout but not a major concern",122,22,negative,0.9187
"From my experience, the delivery experience turned out to be inconsistent, but coupon application did not work properly and needs some improvement",146,22,negative,0.9077
"my interaction with customer care was not very impressive, though the delivery was delayed by a couple of days",110,19,negative,0.9171
", using the app was inconsistent, though the return pickup was delayed and needs some improvement",97,16,negative,0.8376
"using the app was slow at times, but payment failed once before succeeding which could be improved",98,17,negative,0.8208
", from browsing to delivery, the experience was pleasant, and refund processing was slower than promised and needs some improvement",131,20,positive,0.8694
", the ordering experience felt decent, but payment failed once before succeeding",80,12,positive,0.573
", i found the buying process to be inconsistent, and the app lagged during checkout",83,15,negative,0.8888
"i found the buying process to be decent, but billing had a small discrepancy which could be improved",100,18,positive,0.5362
", using the app was quite good, but coupon application did not work properly",76,14,neutral,0.4165
"the delivery experience turned out to be mostly fine, and the final billed amount differed slightly",99,16,positive,0.8644
", the delivery experience turned out to be a bit confusing, but customer care took time to respond which could be improved",122,22,negative,0.7115
", the delivery experience turned out to be pleasant, and the app lagged during checkout",87,15,positive,0.9512
", using the app was not very impressive, though the delivery was delayed by a couple of days but not a major concern",116,23,negative,0.8879
", using the app was smooth, though the delivery was delayed by a couple of days",79,16,positive,0.5406
", customer support was decent, though support eventually resolved the issue",75,11,positive,0.8207
"Good good good ,very good",25,5,positive,0.9732
", the delivery experience turned out to be slow at times, and the app lagged during checkout which could be improved",116,21,negative,0.8873
"my interaction with customer care was fairly efficient, and the final billed amount differed slightly",101,15,positive,0.8378
"its is indeed good,worth recommending",37,5,positive,0.9786
"my interaction with customer care was frustrating, but communication from support could be better which slightly affected my experience",135,19,negative,0.8881
"from browsing to delivery, the experience was satisfactory, but payment failed once before succeeding but manageable",116,16,positive,0.7643
"from browsing to delivery, the experience was worse than expected, though everything worked fine",96,14,negative,0.8484
"the ordering experience felt worse than expected, but payment failed once before succeeding which slightly affected my experience",129,18,negative,0.918
"the delivery experience turned out to be decent, but communication from support could be better",95,15,positive,0.8698
", the delivery experience turned out to be smooth, and the app froze briefly during checkout",92,16,positive,0.8362
"customer support was fairly efficient, though support eventually resolved the issue but not a major concern",107,16,positive,0.6558
", billing and payment were mostly fine, but billing had a small discrepancy and needs some improvement",102,17,neutral,0.5198
"from browsing to delivery, the experience was slow at times, and the app lagged during checkout",95,16,negative,0.8475
", i found the buying process to be satisfactory, though support eventually resolved the issue and needs some improvement",120,19,positive,0.8489
", my interaction with customer care was average, but coupon application did not work properly",93,15,negative,0.9109
", customer support was pleasant, though the invoice was not easy to access",74,13,positive,0.831
very very nice app verye asy,28,6,positive,0.9702
", the ordering experience felt slow at times, though support eventually resolved the issue",90,14,negative,0.6899
"Was a bit unsure before ordering, but turned out to be a good decision",70,14,positive,0.769
", the delivery experience turned out to be a bit confusing, though the return pickup was delayed which slightly affected my experience",134,22,negative,0.8447
", from browsing to delivery, the experience was slow at times, though everything worked fine",92,15,negative,0.5259
"customer support was pleasant, and the app lagged during checkout which could be improved",89,14,positive,0.8281
"i found the buying process to be pleasant, though everything worked fine but manageable",87,14,positive,0.9206
", i found the buying process to be slow at times, though the return pickup was delayed but not a major concern",110,22,negative,0.7874
", the ordering experience felt decent, and refund processing was slower than promised",85,13,positive,0.8832
"billing and payment were fairly efficient, but coupon application did not work properly",87,13,negative,0.6666
"From my experience, from browsing to delivery, the experience was better than expected, though everything worked fine which slightly affected my experience",155,22,positive,0.8813
"the ordering experience felt average, and the app lagged during checkout but manageable",87,13,negative,0.8463
", from browsing to delivery, the experience was not very impressive, but communication from support could be better",115,18,negative,0.9046
"the ordering experience felt worse than expected, and refund processing was slower than promised but not a major concern",120,19,negative,0.9025
"my interaction with customer care was a bit confusing, but coupon application did not work properly and needs some improvement",126,20,negative,0.8904
"the checkout process seemed fairly efficient, and the app lagged during checkout which could be improved",104,16,positive,0.7594
", using the app was pleasant, but payment failed once before succeeding",71,12,neutral,0.4537
", customer support was frustrating, but communication from support could be better which slightly affected my experience",120,17,negative,0.9108
"customer support was smooth, and the app lagged during checkout which could be improved",87,14,positive,0.667
", the experience was a bit confusing, and refund processing was slower than promised",84,14,negative,0.8889
", the delivery experience turned out to be smooth, though the delivery was delayed by a couple of days but manageable",117,21,positive,0.8884
"billing and payment were not very impressive, but coupon application did not work properly",90,14,negative,0.9238
", from browsing to delivery, the experience was not very impressive, though everything worked fine",98,15,negative,0.8124
", i found the buying process ly efficient, though everything worked fine",72,12,positive,0.8517
", i found the buying process to be quite good, though the return pickup was delayed",83,16,positive,0.9211
", from browsing to delivery, the experience was satisfactory, and the app froze briefly during checkout which could be improved",127,20,positive,0.8802
"using the app was fairly efficient, and the final billed amount differed slightly which could be improved",105,17,positive,0.8479
"from browsing to delivery, the experience was better than expected, though the return pickup was delayed but not a major concern",128,21,positive,0.9162
", the delivery experience turned out to be slow at times, though the return pickup was delayed which slightly affected my experience",132,22,negative,0.8637
", the experience was frustrating, though the return pickup was delayed",70,11,negative,0.9123
", customer support was mostly fine, though everything worked fine which could be improved",89,14,positive,0.8865
", my interaction with customer care was pleasant, but coupon application did not work properly",94,15,negative,0.6925
"from browsing to delivery, the experience was a bit confusing, and the app froze briefly during checkout which could be improved",128,21,negative,0.7543
", customer support was mostly fine, but coupon application did not work properly but not a major concern",104,18,negative,0.4561
"From my experience, from browsing to delivery, the experience was quite good, but communication from support could be better which slightly affected my experience",162,24,positive,0.6472
", the checkout process seemed better than expected, but customer care took time to respond but manageable",105,17,positive,0.8749
"the ordering experience felt a bit confusing, and the app froze briefly during checkout",87,14,negative,0.768
", my interaction with customer care was average, though support eventually resolved the issue",93,14,negative,0.6393
", using the app was fairly efficient, but billing had a small discrepancy but manageable",88,15,positive,0.8352
", the delivery experience turned out to be slow at times, and the app froze briefly during checkout which could be improved",123,22,negative,0.8699
", from browsing to delivery, the experience was quite good, but coupon application did not work properly",104,17,positive,0.5453
", the ordering experience felt average, but billing had a small discrepancy",75,12,negative,0.7312
", my interaction with customer care was slow at times, and the app froze briefly during checkout",96,17,negative,0.8587
"the ordering experience felt frustrating, and the final billed amount differed slightly but not a major concern",111,17,negative,0.8556
"using the app was worse than expected, and tracking updates were not regular which could be improved",100,17,negative,0.9196
", the ordering experience felt not very impressive, though support eventually resolved the issue",96,14,negative,0.8762
"the ordering experience felt frustrating, and the final billed amount differed slightly",87,12,negative,0.8825
", billing and payment were a bit confusing, though the invoice was not easy to access but manageable",100,18,negative,0.6386
", using the app was pleasant, but coupon application did not work properly but manageable",89,15,neutral,0.4023
", the checkout process seemed smooth, though support eventually resolved the issue but manageable",97,14,positive,0.7459
"the checkout process seemed satisfactory, but communication from support could be better but manageable",103,14,positive,0.7936
", from browsing to delivery, the experience was not very impressive, and refund processing was slower than promised",115,18,negative,0.9275
", the checkout process seemed better than expected, and the final billed amount differed slightly",97,15,positive,0.8852
", the checkout process seemed mostly fine, though everything worked fine but manageable",87,13,positive,0.8214
"from browsing to delivery, the experience was average, and tracking updates were not regular",92,14,negative,0.7524
"the ordering experience felt fairly efficient, though everything worked fine",76,10,positive,0.941
", the ordering experience felt decent, and tracking updates were not regular which slightly affected my experience",114,17,positive,0.7444
"i found the buying process to be frustrating, but coupon application did not work properly",90,15,negative,0.9251
"Verrry nicee experince, will buy again on weekend",49,8,positive,0.9705
"billing and payment were inconsistent, but coupon application did not work properly",83,12,negative,0.8685
"From my experience, i found the buying process to be pleasant, and the final billed amount differed slightly which slightly affected my experience",146,23,positive,0.7552
", the ordering experience felt inconsistent, though everything worked fine which slightly affected my experience",112,15,negative,0.7765
"my interaction with customer care was not very impressive, and refund processing was slower than promised which slightly affected my experience",143,21,negative,0.9209
"customer support was average, and the app lagged during checkout",64,10,negative,0.929
"billing and payment were smooth, though the return pickup was delayed",69,11,neutral,0.5809
", billing and payment were frustrating, though support eventually resolved the issue",84,12,negative,0.7836
", i found the buying process to be smooth, and the app lagged during checkout but manageable",92,17,positive,0.812
"from browsing to delivery, the experience was a bit confusing, but payment failed once before succeeding",104,16,negative,0.6276
", billing and payment were frustrating, but customer care took time to respond but manageable",93,15,negative,0.8067
"from browsing to delivery, the experience was pleasant, and refund processing was slower than promised which slightly affected my experience",140,20,positive,0.74
", the experience was decent, and the app froze briefly during checkout",70,12,positive,0.9138
"i found the buying process to be satisfactory, though the delivery was delayed by a couple of days which could be improved",122,22,positive,0.7804
"From my experience, the checkout process seemed worse than expected, though the invoice was not easy to access but manageable",125,20,negative,0.8913
", the delivery experience turned out to be average, though the return pickup was delayed which could be improved",112,19,negative,0.859
", the ordering experience felt frustrating, and the app froze briefly during checkout which could be improved",109,17,negative,0.9017
"from browsing to delivery, the experience was better than expected, and refund processing was slower than promised which could be improved",138,21,positive,0.9214
"From my experience, i found the buying process to be better than expected, and the app froze briefly during checkout",116,20,positive,0.8097
", my interaction with customer care was quite good, though everything worked fine but manageable",96,15,positive,0.9377
", i found the buying process to be smooth, though the return pickup was delayed",79,15,positive,0.7642
"From my experience, customer support was decent, though everything worked fine",78,11,positive,0.9113
", the experience was better than expected, though the return pickup was delayed which slightly affected my experience",117,18,positive,0.8973
", the experience was slightly disappointing, though the return pickup was delayed which slightly affected my experience",119,17,negative,0.9188
"the ordering experience felt inconsistent, and the final billed amount differed slightly",88,12,negative,0.7559
", the delivery experience turned out to be quite good, and the app lagged during checkout and needs some improvement",116,20,positive,0.9501
"the ordering experience felt mostly fine, but communication from support could be better and needs some improvement",115,17,positive,0.7027
", billing and payment were frustrating, though the delivery was delayed by a couple of days",91,16,negative,0.903
", the delivery experience turned out to be decent, but billing had a small discrepancy but not a major concern",110,20,positive,0.8777
"from browsing to delivery, the experience was decent, and the app lagged during checkout",88,14,positive,0.9007
", customer support was slow at times, and the final billed amount differed slightly which slightly affected my experience",121,19,negative,0.8794
"using the app was better than expected, and the app lagged during checkout but manageable",89,15,positive,0.927
"From my experience, the delivery experience turned out to be mostly fine, though the return pickup was delayed and needs some improvement",137,22,positive,0.7779
", the ordering experience felt slightly disappointing, but billing had a small discrepancy but not a major concern",114,18,negative,0.8669
"Delivery was quick and the packaging was neat, no damage at all",63,12,positive,0.9278
", customer support was quite good, though support eventually resolved the issue and needs some improvement",106,16,positive,0.8664
", the checkout process seemed fairly efficient, but customer care took time to respond but manageable",101,16,positive,0.8489
", the ordering experience felt average, though the delivery was delayed by a couple of days but not a major concern",115,21,negative,0.7426
"from browsing to delivery, the experience was pleasant, though the invoice was not easy to access",97,16,positive,0.8724
", my interaction with customer care was fairly efficient, though the return pickup was delayed",94,15,positive,0.8213
"From my experience, my interaction with customer care was slow at times, though the delivery was delayed by a couple of days which slightly affected my experience",162,27,negative,0.8578
"customer support was better than expected, though the return pickup was delayed but manageable",94,14,positive,0.9231
", i found the buying process to be pleasant, but customer care took time to respond but not a major concern",107,21,positive,0.8571
"From my experience, using the app was pleasant, though the return pickup was delayed which could be improved",108,18,positive,0.7696
", from browsing to delivery, the experience was fairly efficient, though the delivery was delayed by a couple of days",117,20,positive,0.9008
", the experience was frustrating, but communication from support could be better",80,12,negative,0.9021
", customer support was pleasant, but coupon application did not work properly",77,12,negative,0.7083
", using the app was slightly disappointing, but billing had a small discrepancy",79,13,negative,0.8719
"the ordering experience felt slow at times, and tracking updates were not regular",81,13,negative,0.8271
"the checkout process seemed smooth, and the app lagged during checkout",70,11,neutral,0.6082
"Everything was handled well, from order placement to final delivery",67,10,positive,0.8999
"using the app was frustrating, and refund processing was slower than promised which could be improved",101,16,negative,0.9102
", billing and payment were a bit confusing, though everything worked fine but manageable",88,14,neutral,0.5966
"the ordering experience felt quite good, and the app lagged during checkout which slightly affected my experience",113,17,positive,0.8725
", i found the buying process to be quite good, but billing had a small discrepancy but not a major concern",106,21,positive,0.874
", using the app was slightly disappointing, but payment failed once before succeeding but manageable",100,15,negative,0.8499
", using the app was fairly efficient, and tracking updates were not regular",75,13,positive,0.7114
", the delivery experience turned out to be satisfactory, but billing had a small discrepancy",92,15,positive,0.9095
"from browsing to delivery, the experience was pleasant, and the app lagged during checkout",90,14,positive,0.9281
", using the app was fairly efficient, though support eventually resolved the issue",82,13,positive,0.7749
"the delivery experience turned out to be inconsistent, though the invoice was not easy to access which slightly affected my experience",134,21,negative,0.8827
"From my experience, customer support was decent, though everything worked fine but manageable",93,13,positive,0.9034
", the experience was frustrating, though the return pickup was delayed but manageable",85,13,negative,0.9105
", customer support was quite good, and the app lagged during checkout which slightly affected my experience",107,17,positive,0.8186
", using the app was slow at times, but billing had a small discrepancy which could be improved",94,18,negative,0.6834
", from browsing to delivery, the experience was better than expected, though everything worked fine and needs some improvement",126,19,positive,0.9546
", customer support was frustrating, though the return pickup was delayed but not a major concern",96,16,negative,0.9039
"the delivery experience turned out to be worse than expected, though support eventually resolved the issue but not a major concern",130,21,negative,0.8534
"From my experience, billing and payment were average, and refund processing was slower than promised",100,15,negative,0.8531
"billing and payment were slightly disappointing, and tracking updates were not regular",86,12,negative,0.9054
"the checkout process seemed slow at times, but coupon application did not work properly",87,14,negative,0.8966
", the experience was worse than expected, and refund processing was slower than promised",88,14,negative,0.9445
", customer support was better than expected, but payment failed once before succeeding",86,13,positive,0.6443
", i found the buying process to be mostly fine, but customer care took time to respond",86,17,positive,0.7577
", the checkout process seemed slightly disappointing, and the final billed amount differed slightly",99,14,negative,0.8946
"billing and payment were quite good, and the app lagged during checkout",71,12,positive,0.8538
"the ordering experience felt slightly disappointing, though support eventually resolved the issue but manageable",112,14,negative,0.827
"i found the buying process to be pleasant, and tracking updates were not regular and needs some improvement",107,18,positive,0.7348
", my interaction with customer care was average, though the delivery was delayed by a couple of days",100,18,negative,0.6585
", from browsing to delivery, the experience was worse than expected, though everything worked fine but manageable",113,17,negative,0.8799
", the checkout process seemed frustrating, but billing had a small discrepancy but manageable",93,14,negative,0.7825
", i found the buying process to be mostly fine, though everything worked fine",77,14,positive,0.8114
", from browsing to delivery, the experience was slightly disappointing, though the delivery was delayed by a couple of days",123,20,negative,0.9098
"From my experience, from browsing to delivery, the experience was a bit confusing, though the delivery was delayed by a couple of days which could be improved",158,27,negative,0.7609
", the ordering experience felt decent, but customer care took time to respond",77,13,positive,0.8817
I thought very nice experiecne worth repeat purchase,52,8,positive,0.9722
", i found the buying process to be quite good, though everything worked fine which could be improved",100,18,positive,0.925
", the experience was slightly disappointing, but customer care took time to respond",83,13,negative,0.8993
"billing and payment were not very impressive, and the app lagged during checkout",80,13,negative,0.9159
"customer support was satisfactory, though the invoice was not easy to access which could be improved",100,16,positive,0.5224
", from browsing to delivery, the experience was slightly disappointing, though everything worked fine but not a major concern",125,19,negative,0.8226
"the checkout process seemed average, though the return pickup was delayed",73,11,negative,0.6872
"billing and payment were mostly fine, though the delivery was delayed by a couple of days",89,16,neutral,0.6514
", i found the buying process to be pleasant, but communication from support could be better but manageable",106,18,positive,0.8659
", from browsing to delivery, the experience was not very impressive, and the final billed amount differed slightly",114,18,negative,0.8961
", my interaction with customer care was slow at times, though the return pickup was delayed which slightly affected my experience",129,21,negative,0.8548
"billing and payment were mostly fine, but payment failed once before succeeding",79,12,neutral,0.4913
"using the app was fairly efficient, and the app lagged during checkout",70,12,positive,0.7563
"the delivery experience turned out to be a bit confusing, but customer care took time to respond",96,17,negative,0.5383
", the experience was smooth, and tracking updates were not regular which slightly affected my experience",104,16,positive,0.6434
"from browsing to delivery, the experience was slightly disappointing, and refund processing was slower than promised",116,16,negative,0.9195
"using the app was slow at times, and tracking updates were not regular but not a major concern",94,18,negative,0.672
", the delivery experience turned out to be average, but coupon application did not work properly",96,16,negative,0.9209
"Probbaly I will be buying more stuff, looks good to me",54,11,positive,0.9623
"using the app was average, but communication from support could be better",73,12,negative,0.8217
"billing and payment were pleasant, though everything worked fine which could be improved",88,13,positive,0.9129
"from browsing to delivery, the experience was inconsistent, though the invoice was not easy to access and needs some improvement",128,20,negative,0.849
"using the app was a bit confusing, but billing had a small discrepancy which could be improved",94,17,negative,0.5523
", customer support was decent, and the app lagged during checkout",65,11,positive,0.8663
", the checkout process seemed better than expected, but billing had a small discrepancy but not a major concern",111,19,positive,0.7962
"i found the buying process to be quite good, and refund processing was slower than promised but not a major concern",115,21,positive,0.8773
"i found the buying process to be smooth, though everything worked fine",70,12,positive,0.7889
"billing and payment were mostly fine, though the delivery was delayed by a couple of days which could be improved",113,20,neutral,0.569
"the ordering experience felt slightly disappointing, and the final billed amount differed slightly and needs some improvement",125,17,negative,0.9065
", my interaction with customer care was pleasant, though everything worked fine",79,12,positive,0.9396
"the checkout process seemed average, though the invoice was not easy to access but manageable",93,15,negative,0.6311
The process was smooth and fast,31,6,positive,0.8926
", i found the buying process to be mostly fine, though the invoice was not easy to access",89,18,positive,0.6867
"From my experience, billing and payment were inconsistent, though everything worked fine",88,12,neutral,0.6039
"the checkout process seemed mostly fine, and the app lagged during checkout",75,12,positive,0.5669
"my interaction with customer care was inconsistent, and the app lagged during checkout but not a major concern",110,18,negative,0.8147
"From my experience, the delivery experience turned out to be pleasant, though the delivery was delayed by a couple of days but not a major concern",146,26,positive,0.8987
"the delivery experience turned out to be worse than expected, and tracking updates were not regular which slightly affected my experience",137,21,negative,0.9287
"using the app was not very impressive, and refund processing was slower than promised but manageable",100,16,negative,0.918
"the ordering experience felt slightly disappointing, but billing had a small discrepancy",88,12,negative,0.8685
