feedback_id,clause,sentiment,sentiment_confidence
30,the experience was decent,positive,0.9294
30,coupon application did not work properly and needs some improvement,negative,0.9019
31,my interaction with customer care was mostly fine,positive,0.7532
31,payment failed once before succeeding which could be improved,negative,0.4881
32,the ordering experience felt slightly disappointing,negative,0.8973
32,communication from support could be better,neutral,0.521
33,its like any other what to tell new nothing,neutral,0.4832
34,the experience was pleasant,positive,0.9663
34,communication from support could be better,neutral,0.521
35,customer support was satisfactory,positive,0.9291
35,everything worked fine,positive,0.7039
36,i found the buying process to be frustrating,negative,0.8647
36,support eventually resolved the issue,neutral,0.6597
36,not a major concern,neutral,0.6826
37,customer support was better than expected,positive,0.9678
37,and refund processing was slower than promised which could be improved,negative,0.7531
38,the experience was satisfactory,positive,0.9494
38,and the final billed amount differed slightly,neutral,0.8341
39,using the app was average,negative,0.7631
39,coupon application did not work properly which could be improved,negative,0.8567
40,From my experience,neutral,0.7509
40,customer support was inconsistent,negative,0.8775
40,and the app froze briefly during checkout,negative,0.6335
41,Verry happy man good option,positive,0.9413
42,using the app was inconsistent,negative,0.7601
42,and tracking updates were not regular,neutral,0.693
43,the experience was fairly efficient,positive,0.9463
43,the delivery was delayed by a couple of days,negative,0.7335
44,billing and payment were a bit confusing,neutral,0.4992
44,coupon application did not work properly,negative,0.8587
45,billing and payment were slightly disappointing,negative,0.8894
45,billing had a small discrepancy,neutral,0.8311
46,i found the buying process ly efficient,positive,0.69
46,the return pickup was delayed,negative,0.5779
47,the delivery experience turned out to be slightly disappointing,negative,0.8781
47,customer care took time to respond,neutral,0.7581
48,the experience was slow at times,negative,0.8504
48,the invoice was not easy to access,negative,0.828
49,billing and payment were not very impressive,negative,0.8618
49,communication from support could be better and needs some improvement,neutral,0.5949
50,my interaction with customer care was frustrating,negative,0.9052
50,and refund processing was slower than promised which slightly affected my experience,negative,0.8799
51,the ordering experience felt slow at times,negative,0.8322
51,the invoice was not easy to access,negative,0.828
52,from browsing to delivery,neutral,0.84
52,the experience was fairly efficient,positive,0.9463
52,coupon application did not work properly,negative,0.8587
54,the checkout process seemed average,negative,0.7465
54,and the app froze briefly during checkout,negative,0.6335
54,not a major concern,neutral,0.6826
55,the ordering experience felt quite good,positive,0.9714
55,and tracking updates were not regular,neutral,0.693
56,customer support was not very impressive,negative,0.891
56,everything worked fine,positive,0.7039
57,billing and payment were mostly fine,positive,0.5629
57,customer care took time to respond,neutral,0.7581
58,the checkout process seemed slightly disappointing,negative,0.8693
59,from browsing to delivery,neutral,0.84
59,the experience was smooth,positive,0.9286
60,customer support was a bit confusing,negative,0.7998
60,and refund processing was slower than promised,negative,0.852
60,not a major concern,neutral,0.6826
61,the delivery experience turned out to be worse than expected,negative,0.9247
61,communication from support could be better,neutral,0.521
62,the checkout process seemed worse than expected,negative,0.9172
62,communication from support could be better,neutral,0.521
63,From my experience,neutral,0.7509
63,using the app was mostly fine,positive,0.641
63,communication from support could be better,neutral,0.521
64,using the app was a bit confusing,neutral,0.505
64,and the app froze briefly during checkout,negative,0.6335
65,billing and payment were mostly fine,positive,0.5629
65,support eventually resolved the issue,neutral,0.6597
66,from browsing to delivery,neutral,0.84
66,the experience was decent,positive,0.9294
66,support eventually resolved the issue,neutral,0.6597
66,not a major concern,neutral,0.6826
67,the ordering experience felt inconsistent,negative,0.8297
67,the return pickup was delayed and needs some improvement,negative,0.8213
68,the delivery experience turned out ly efficient,positive,0.8559
68,payment failed once before succeeding and needs some improvement,negative,0.5932
69,using the app was average,negative,0.7631
69,the delivery was delayed by a couple of days,negative,0.7335
70,from browsing to delivery,neutral,0.84
70,the experience was average,negative,0.8643
70,the invoice was not easy to access,negative,0.828
71,From my experience,neutral,0.7509
71,billing and payment were satisfactory,positive,0.8478
71,billing had a small discrepancy,neutral,0.8311
71,not a major concern,neutral,0.6826
72,billing and payment were a bit confusing,neutral,0.4992
72,and the app froze briefly during checkout,negative,0.6335
73,i found the buying process to be average,negative,0.6802
73,and refund processing was slower than promised,negative,0.852
74,using the app was slow at times,negative,0.6987
74,support eventually resolved the issue,neutral,0.6597
75,my interaction with customer care was mostly fine,positive,0.7532
75,the delivery was delayed by a couple of days which could be improved,negative,0.7154
76,using the app was inconsistent,negative,0.7601
76,and the app froze briefly during checkout,negative,0.6335
77,The delivery was delayed by a couple of days,negative,0.7312
78,my interaction with customer care was not very impressive,negative,0.8848
78,coupon application did not work properly,negative,0.8587
78,not a major concern,neutral,0.6826
79,From my experience,neutral,0.7509
79,the delivery experience turned out to be slightly disappointing,negative,0.8781
79,and the app froze briefly during checkout,negative,0.6335
80,the experience was pleasant,positive,0.9663
80,billing had a small discrepancy,neutral,0.8311
81,the ordering experience felt not very impressive,negative,0.8736
81,and refund processing was slower than promised,negative,0.852
82,my interaction with customer care was smooth,positive,0.8227
82,the invoice was not easy to access and needs some improvement,negative,0.8864
83,using the app was better than expected,positive,0.9636
83,and refund processing was slower than promised,negative,0.852
84,From my experience,neutral,0.7509
84,using the app was not very impressive,negative,0.8712
84,and the app froze briefly during checkout and needs some improvement,negative,0.7869
85,from browsing to delivery,neutral,0.84
85,the experience was a bit confusing,negative,0.6813
85,and the app froze briefly during checkout,negative,0.6335
86,the experience was decent,positive,0.9294
86,and the final billed amount differed slightly,neutral,0.8341
87,customer support was a bit confusing,negative,0.7998
87,coupon application did not work properly which slightly affected my experience,negative,0.873
88,using the app was better than expected,positive,0.9636
88,and the final billed amount differed slightly,neutral,0.8341
89,the delivery experience turned out to be worse than expected,negative,0.9247
89,the invoice was not easy to access,negative,0.828
90,billing and payment were average,negative,0.5647
90,support eventually resolved the issue and needs some improvement,neutral,0.5631
91,the delivery experience turned out to be smooth,positive,0.9114
91,billing had a small discrepancy,neutral,0.8311
92,the checkout process seemed mostly fine,positive,0.7489
92,coupon application did not work properly,negative,0.8587
93,From my experience,neutral,0.7509
93,customer support was average,negative,0.8797
93,everything worked fine,positive,0.7039
93,not a major concern,neutral,0.6826
94,the delivery experience turned out to be satisfactory,positive,0.9322
94,everything worked fine and needs some improvement,positive,0.783
95,the ordering experience felt pleasant,positive,0.9632
95,and the app froze briefly during checkout,negative,0.6335
95,not a major concern,neutral,0.6826
96,customer support was mostly fine,positive,0.7734
96,and the app froze briefly during checkout which slightly affected my experience,negative,0.8183
97,customer support was better than expected,positive,0.9678
97,and tracking updates were not regular which could be improved,neutral,0.5808
98,customer support was slightly disappointing,negative,0.9093
98,support eventually resolved the issue,neutral,0.6597
99,i found the buying process to be decent,positive,0.7139
99,and the final billed amount differed slightly,neutral,0.8341
100,from browsing to delivery,neutral,0.84
100,the experience was a bit confusing,negative,0.6813
100,the invoice was not easy to access,negative,0.828
101,the experience was smooth,positive,0.9286
101,everything worked fine,positive,0.7039
102,my interaction with customer care was better than expected,positive,0.9604
102,the delivery was delayed by a couple of days,negative,0.7335
102,not a major concern,neutral,0.6826
103,billing and payment were not very impressive,negative,0.8618
103,support eventually resolved the issue,neutral,0.6597
103,not a major concern,neutral,0.6826
104,i found the buying process to be average,negative,0.6802
104,payment failed once before succeeding which could be improved,negative,0.4881
105,from browsing to delivery,neutral,0.84
105,the experience was decent,positive,0.9294
105,everything worked fine,positive,0.7039
106,From my experience,neutral,0.7509
106,my interaction with customer care was fairly efficient,positive,0.8965
106,and the app froze briefly during checkout,negative,0.6335
107,billing and payment were inconsistent,negative,0.736
107,payment failed once before succeeding,neutral,0.5795
108,the checkout process seemed satisfactory,positive,0.8768
108,the delivery was delayed by a couple of days,negative,0.7335
109,the ordering experience felt slightly disappointing,negative,0.8973
109,the return pickup was delayed which could be improved,negative,0.5467
110,the checkout process seemed decent,positive,0.8216
110,the delivery was delayed by a couple of days which slightly affected my experience,negative,0.852
111,i found the buying process to be satisfactory,positive,0.8375
111,and the app froze briefly during checkout,negative,0.6335
112,using the app was satisfactory,positive,0.8924
112,and the app lagged during checkout which could be improved,negative,0.8118
113,From my experience,neutral,0.7509
113,the ordering experience felt smooth,positive,0.9088
113,support eventually resolved the issue,neutral,0.6597
114,the delivery experience turned out to be a bit confusing,negative,0.7174
114,and tracking updates were not regular,neutral,0.693
114,not a major concern,neutral,0.6826
115,my interaction with customer care was worse than expected,negative,0.9391
115,and the app froze briefly during checkout,negative,0.6335
115,not a major concern,neutral,0.6826
116,from browsing to delivery,neutral,0.84
116,the experience was slightly disappointing,negative,0.8861
116,the return pickup was delayed,negative,0.5779
117,billing and payment were not very impressive,negative,0.8618
117,the return pickup was delayed,negative,0.5779
118,customer support was worse than expected,negative,0.9323
118,coupon application did not work properly which slightly affected my experience,negative,0.873
119,the delivery experience turned out to be quite good,positive,0.975
119,the invoice was not easy to access,negative,0.828
119,not a major concern,neutral,0.6826
120,using the app was decent,positive,0.8401
120,everything worked fine,positive,0.7039
120,not a major concern,neutral,0.6826
121,the checkout process seemed inconsistent,negative,0.7649
121,payment failed once before succeeding,neutral,0.5795
122,using the app was pleasant,positive,0.9449
122,the delivery was delayed by a couple of days,negative,0.7335
123,my interaction with customer care was decent,positive,0.8777
123,support eventually resolved the issue,neutral,0.6597
124,billing and payment were worse than expected,negative,0.9263
124,coupon application did not work properly,negative,0.8587
125,the delivery experience turned out to be satisfactory,positive,0.9322
125,payment failed once before succeeding,neutral,0.5795
126,the delivery experience turned out to be smooth,positive,0.9114
126,the return pickup was delayed,negative,0.5779
127,From my experience,neutral,0.7509
127,i found the buying process ly efficient,positive,0.69
127,support eventually resolved the issue,neutral,0.6597
127,not a major concern,neutral,0.6826
128,billing and payment were average,negative,0.5647
128,communication from support could be better,neutral,0.521
128,not a major concern,neutral,0.6826
129,the ordering experience felt frustrating,negative,0.8998
129,the delivery was delayed by a couple of days which could be improved,negative,0.7154
130,From my experience,neutral,0.7509
130,billing and payment were slightly disappointing,negative,0.8894
130,and the app lagged during checkout,negative,0.8398
131,my interaction with customer care was inconsistent,negative,0.8301
131,billing had a small discrepancy,neutral,0.8311
132,the delivery experience turned out to be decent,positive,0.9252
132,communication from support could be better and needs some improvement,neutral,0.5949
133,the delivery experience turned out ly efficient,positive,0.8559
133,customer care took time to respond and needs some improvement,neutral,0.5303
134,the delivery experience turned out to be slightly disappointing,negative,0.8781
134,payment failed once before succeeding,neutral,0.5795
135,the delivery experience turned out to be worse than expected,negative,0.9247
135,and the app lagged during checkout,negative,0.8398
135,not a major concern,neutral,0.6826
136,From my experience,neutral,0.7509
136,the delivery experience turned out to be inconsistent,negative,0.8114
136,coupon application did not work properly and needs some improvement,negative,0.9019
137,my interaction with customer care was not very impressive,negative,0.8848
137,the delivery was delayed by a couple of days,negative,0.7335
138,using the app was inconsistent,negative,0.7601
138,the return pickup was delayed and needs some improvement,negative,0.8213
139,using the app was slow at times,negative,0.6987
139,payment failed once before succeeding which could be improved,negative,0.4881
140,from browsing to delivery,neutral,0.84
140,the experience was pleasant,positive,0.9663
140,and refund processing was slower than promised and needs some improvement,negative,0.851
141,the ordering experience felt decent,positive,0.9093
141,payment failed once before succeeding,neutral,0.5795
142,i found the buying process to be inconsistent,negative,0.7412
142,and the app lagged during checkout,negative,0.8398
143,i found the buying process to be decent,positive,0.7139
143,billing had a small discrepancy which could be improved,neutral,0.7188
144,using the app was quite good,positive,0.9668
144,coupon application did not work properly,negative,0.8587
145,the delivery experience turned out to be mostly fine,positive,0.8742
145,and the final billed amount differed slightly,neutral,0.8341
146,the delivery experience turned out to be a bit confusing,negative,0.7174
146,customer care took time to respond which could be improved,negative,0.5184
147,the delivery experience turned out to be pleasant,positive,0.9631
147,and the app lagged during checkout,negative,0.8398
148,using the app was not very impressive,negative,0.8712
148,the delivery was delayed by a couple of days,negative,0.7335
148,not a major concern,neutral,0.6826
149,using the app was smooth,positive,0.686
149,the delivery was delayed by a couple of days,negative,0.7335
150,customer support was decent,positive,0.8701
150,support eventually resolved the issue,neutral,0.6597
151,Good good good,positive,0.9044
152,the delivery experience turned out to be slow at times,negative,0.8142
152,and the app lagged during checkout which could be improved,negative,0.8118
153,my interaction with customer care was fairly efficient,positive,0.8965
153,and the final billed amount differed slightly,neutral,0.8341
154,its is indeed good,positive,0.9615
155,my interaction with customer care was frustrating,negative,0.9052
155,communication from support could be better which slightly affected my experience,negative,0.5905
156,from browsing to delivery,neutral,0.84
156,the experience was satisfactory,positive,0.9494
156,payment failed once before succeeding,neutral,0.5795
157,from browsing to delivery,neutral,0.84
157,the experience was worse than expected,negative,0.9332
157,everything worked fine,positive,0.7039
158,the ordering experience felt worse than expected,negative,0.9332
158,payment failed once before succeeding which slightly affected my experience,negative,0.7393
159,the delivery experience turned out to be decent,positive,0.9252
159,communication from support could be better,neutral,0.521
160,the delivery experience turned out to be smooth,positive,0.9114
160,and the app froze briefly during checkout,negative,0.6335
161,customer support was fairly efficient,positive,0.8737
161,support eventually resolved the issue,neutral,0.6597
161,not a major concern,neutral,0.6826
162,billing and payment were mostly fine,positive,0.5629
162,billing had a small discrepancy and needs some improvement,neutral,0.5608
163,from browsing to delivery,neutral,0.84
163,the experience was slow at times,negative,0.8504
163,and the app lagged during checkout,negative,0.8398
164,i found the buying process to be satisfactory,positive,0.8375
164,support eventually resolved the issue and needs some improvement,neutral,0.5631
165,my interaction with customer care was average,negative,0.8322
165,coupon application did not work properly,negative,0.8587
166,customer support was pleasant,positive,0.9551
166,the invoice was not easy to access,negative,0.828
167,very very nice app verye asy,positive,0.9702
168,the ordering experience felt slow at times,negative,0.8322
168,support eventually resolved the issue,neutral,0.6597
169,Was a bit unsure before ordering,neutral,0.7363
169,turned out to be a good decision,positive,0.7912
170,the delivery experience turned out to be a bit confusing,negative,0.7174
170,the return pickup was delayed which slightly affected my experience,negative,0.8206
171,from browsing to delivery,neutral,0.84
171,the experience was slow at times,negative,0.8504
171,everything worked fine,positive,0.7039
172,customer support was pleasant,positive,0.9551
172,and the app lagged during checkout which could be improved,negative,0.8118
173,i found the buying process to be pleasant,positive,0.9076
173,everything worked fine,positive,0.7039
174,i found the buying process to be slow at times,negative,0.73
174,the return pickup was delayed,negative,0.5779
174,not a major concern,neutral,0.6826
175,the ordering experience felt decent,positive,0.9093
175,and refund processing was slower than promised,negative,0.852
176,billing and payment were fairly efficient,positive,0.721
176,coupon application did not work properly,negative,0.8587
177,From my experience,neutral,0.7509
177,from browsing to delivery,neutral,0.84
177,the experience was better than expected,positive,0.9811
177,everything worked fine which slightly affected my experience,neutral,0.5434
178,the ordering experience felt average,negative,0.8621
178,and the app lagged during checkout,negative,0.8398
179,from browsing to delivery,neutral,0.84
179,the experience was not very impressive,negative,0.881
179,communication from support could be better,neutral,0.521
180,the ordering experience felt worse than expected,negative,0.9332
180,and refund processing was slower than promised,negative,0.852
180,not a major concern,neutral,0.6826
181,my interaction with customer care was a bit confusing,negative,0.6228
181,coupon application did not work properly and needs some improvement,negative,0.9019
182,the checkout process seemed fairly efficient,positive,0.8837
182,and the app lagged during checkout which could be improved,negative,0.8118
183,using the app was pleasant,positive,0.9449
183,payment failed once before succeeding,neutral,0.5795
184,customer support was frustrating,negative,0.9218
184,communication from support could be better which slightly affected my experience,negative,0.5905
185,customer support was smooth,positive,0.8344
185,and the app lagged during checkout which could be improved,negative,0.8118
186,the experience was a bit confusing,negative,0.6813
186,and refund processing was slower than promised,negative,0.852
187,the delivery experience turned out to be smooth,positive,0.9114
187,the delivery was delayed by a couple of days,negative,0.7335
188,billing and payment were not very impressive,negative,0.8618
188,coupon application did not work properly,negative,0.8587
189,from browsing to delivery,neutral,0.84
189,the experience was not very impressive,negative,0.881
189,everything worked fine,positive,0.7039
190,i found the buying process ly efficient,positive,0.69
190,everything worked fine,positive,0.7039
191,i found the buying process to be quite good,positive,0.9384
191,the return pickup was delayed,negative,0.5779
192,from browsing to delivery,neutral,0.84
192,the experience was satisfactory,positive,0.9494
192,and the app froze briefly during checkout which could be improved,negative,0.6996
193,using the app was fairly efficient,positive,0.8246
193,and the final billed amount differed slightly which could be improved,neutral,0.7765
194,from browsing to delivery,neutral,0.84
194,the experience was better than expected,positive,0.9811
194,the return pickup was delayed,negative,0.5779
194,not a major concern,neutral,0.6826
195,the delivery experience turned out to be slow at times,negative,0.8142
195,the return pickup was delayed which slightly affected my experience,negative,0.8206
196,the experience was frustrating,negative,0.895
196,the return pickup was delayed,negative,0.5779
197,customer support was mostly fine,positive,0.7734
197,everything worked fine which could be improved,positive,0.8023
198,my interaction with customer care was pleasant,positive,0.9485
198,coupon application did not work properly,negative,0.8587
199,from browsing to delivery,neutral,0.84
199,the experience was a bit confusing,negative,0.6813
199,and the app froze briefly during checkout which could be improved,negative,0.6996
200,customer support was mostly fine,positive,0.7734
200,coupon application did not work properly,negative,0.8587
200,not a major concern,neutral,0.6826
201,From my experience,neutral,0.7509
201,from browsing to delivery,neutral,0.84
201,the experience was quite good,positive,0.9747
201,communication from support could be better which slightly affected my experience,negative,0.5905
202,the checkout process seemed better than expected,positive,0.9376
202,customer care took time to respond,neutral,0.7581
203,the ordering experience felt a bit confusing,negative,0.6626
203,and the app froze briefly during checkout,negative,0.6335
204,my interaction with customer care was average,negative,0.8322
204,support eventually resolved the issue,neutral,0.6597
205,using the app was fairly efficient,positive,0.8246
205,billing had a small discrepancy,neutral,0.8311
206,the delivery experience turned out to be slow at times,negative,0.8142
206,and the app froze briefly during checkout which could be improved,negative,0.6996
207,from browsing to delivery,neutral,0.84
207,the experience was quite good,positive,0.9747
207,coupon application did not work properly,negative,0.8587
208,the ordering experience felt average,negative,0.8621
208,billing had a small discrepancy,neutral,0.8311
209,my interaction with customer care was slow at times,negative,0.8312
209,and the app froze briefly during checkout,negative,0.6335
210,the ordering experience felt frustrating,negative,0.8998
210,and the final billed amount differed slightly,neutral,0.8341
210,not a major concern,neutral,0.6826
211,using the app was worse than expected,negative,0.9319
211,and tracking updates were not regular which could be improved,neutral,0.5808
212,the ordering experience felt not very impressive,negative,0.8736
212,support eventually resolved the issue,neutral,0.6597
213,the ordering experience felt frustrating,negative,0.8998
213,and the final billed amount differed slightly,neutral,0.8341
214,billing and payment were a bit confusing,neutral,0.4992
214,the invoice was not easy to access,negative,0.828
215,using the app was pleasant,positive,0.9449
215,coupon application did not work properly,negative,0.8587
216,the checkout process seemed smooth,positive,0.7016
216,support eventually resolved the issue,neutral,0.6597
217,the checkout process seemed satisfactory,positive,0.8768
217,communication from support could be better,neutral,0.521
218,from browsing to delivery,neutral,0.84
218,the experience was not very impressive,negative,0.881
218,and refund processing was slower than promised,negative,0.852
219,the checkout process seemed better than expected,positive,0.9376
219,and the final billed amount differed slightly,neutral,0.8341
220,the checkout process seemed mostly fine,positive,0.7489
220,everything worked fine,positive,0.7039
221,from browsing to delivery,neutral,0.84
221,the experience was average,negative,0.8643
221,and tracking updates were not regular,neutral,0.693
222,the ordering experience felt fairly efficient,positive,0.9422
222,everything worked fine,positive,0.7039
223,the ordering experience felt decent,positive,0.9093
223,and tracking updates were not regular which slightly affected my experience,negative,0.7504
224,i found the buying process to be frustrating,negative,0.8647
224,coupon application did not work properly,negative,0.8587
225,Verrry nicee experince,positive,0.9478
225,will buy again on weekend,neutral,0.5993
226,billing and payment were inconsistent,negative,0.736
226,coupon application did not work properly,negative,0.8587
227,From my experience,neutral,0.7509
227,i found the buying process to be pleasant,positive,0.9076
227,and the final billed amount differed slightly which slightly affected my experience,negative,0.6564
228,the ordering experience felt inconsistent,negative,0.8297
228,everything worked fine which slightly affected my experience,neutral,0.5434
229,my interaction with customer care was not very impressive,negative,0.8848
229,and refund processing was slower than promised which slightly affected my experience,negative,0.8799
230,customer support was average,negative,0.8797
230,and the app lagged during checkout,negative,0.8398
231,billing and payment were smooth,positive,0.7625
231,the return pickup was delayed,negative,0.5779
232,billing and payment were frustrating,negative,0.8702
232,support eventually resolved the issue,neutral,0.6597
233,i found the buying process to be smooth,positive,0.6252
233,and the app lagged during checkout,negative,0.8398
234,from browsing to delivery,neutral,0.84
234,the experience was a bit confusing,negative,0.6813
234,payment failed once before succeeding,neutral,0.5795
235,billing and payment were frustrating,negative,0.8702
235,customer care took time to respond,neutral,0.7581
236,from browsing to delivery,neutral,0.84
236,the experience was pleasant,positive,0.9663
236,and refund processing was slower than promised which slightly affected my experience,negative,0.8799
237,the experience was decent,positive,0.9294
237,and the app froze briefly during checkout,negative,0.6335
238,i found the buying process to be satisfactory,positive,0.8375
238,the delivery was delayed by a couple of days which could be improved,negative,0.7154
239,From my experience,neutral,0.7509
239,the checkout process seemed worse than expected,negative,0.9172
239,the invoice was not easy to access,negative,0.828
240,the delivery experience turned out to be average,negative,0.859
240,the return pickup was delayed which could be improved,negative,0.5467
241,the ordering experience felt frustrating,negative,0.8998
241,and the app froze briefly during checkout which could be improved,negative,0.6996
242,from browsing to delivery,neutral,0.84
242,the experience was better than expected,positive,0.9811
242,and refund processing was slower than promised which could be improved,negative,0.7531
243,From my experience,neutral,0.7509
243,i found the buying process to be better than expected,positive,0.9373
243,and the app froze briefly during checkout,negative,0.6335
244,my interaction with customer care was quite good,positive,0.9599
244,everything worked fine,positive,0.7039
245,i found the buying process to be smooth,positive,0.6252
245,the return pickup was delayed,negative,0.5779
246,From my experience,neutral,0.7509
246,customer support was decent,positive,0.8701
246,everything worked fine,positive,0.7039
247,the experience was better than expected,positive,0.9811
247,the return pickup was delayed which slightly affected my experience,negative,0.8206
248,the experience was slightly disappointing,negative,0.8861
248,the return pickup was delayed which slightly affected my experience,negative,0.8206
249,the ordering experience felt inconsistent,negative,0.8297
249,and the final billed amount differed slightly,neutral,0.8341
250,the delivery experience turned out to be quite good,positive,0.975
250,and the app lagged during checkout and needs some improvement,negative,0.8635
251,the ordering experience felt mostly fine,positive,0.8739
251,communication from support could be better and needs some improvement,neutral,0.5949
252,billing and payment were frustrating,negative,0.8702
252,the delivery was delayed by a couple of days,negative,0.7335
253,the delivery experience turned out to be decent,positive,0.9252
253,billing had a small discrepancy,neutral,0.8311
253,not a major concern,neutral,0.6826
254,from browsing to delivery,neutral,0.84
254,the experience was decent,positive,0.9294
254,and the app lagged during checkout,negative,0.8398
255,customer support was slow at times,negative,0.8624
255,and the final billed amount differed slightly which slightly affected my experience,negative,0.6564
256,using the app was better than expected,positive,0.9636
256,and the app lagged during checkout,negative,0.8398
257,From my experience,neutral,0.7509
257,the delivery experience turned out to be mostly fine,positive,0.8742
257,the return pickup was delayed and needs some improvement,negative,0.8213
258,the ordering experience felt slightly disappointing,negative,0.8973
258,billing had a small discrepancy,neutral,0.8311
258,not a major concern,neutral,0.6826
259,Delivery was quick and the packaging was neat,positive,0.9759
259,no damage at all,neutral,0.6503
260,customer support was quite good,positive,0.9558
260,support eventually resolved the issue and needs some improvement,neutral,0.5631
261,the checkout process seemed fairly efficient,positive,0.8837
261,customer care took time to respond,neutral,0.7581
262,the ordering experience felt average,negative,0.8621
262,the delivery was delayed by a couple of days,negative,0.7335
262,not a major concern,neutral,0.6826
263,from browsing to delivery,neutral,0.84
263,the experience was pleasant,positive,0.9663
263,the invoice was not easy to access,negative,0.828
264,my interaction with customer care was fairly efficient,positive,0.8965
264,the return pickup was delayed,negative,0.5779
265,From my experience,neutral,0.7509
265,my interaction with customer care was slow at times,negative,0.8312
265,the delivery was delayed by a couple of days which slightly affected my experience,negative,0.852
266,customer support was better than expected,positive,0.9678
266,the return pickup was delayed,negative,0.5779
267,i found the buying process to be pleasant,positive,0.9076
267,customer care took time to respond,neutral,0.7581
267,not a major concern,neutral,0.6826
268,From my experience,neutral,0.7509
268,using the app was pleasant,positive,0.9449
268,the return pickup was delayed which could be improved,negative,0.5467
269,from browsing to delivery,neutral,0.84
269,the experience was fairly efficient,positive,0.9463
269,the delivery was delayed by a couple of days,negative,0.7335
270,the experience was frustrating,negative,0.895
270,communication from support could be better,neutral,0.521
271,customer support was pleasant,positive,0.9551
271,coupon application did not work properly,negative,0.8587
272,using the app was slightly disappointing,negative,0.8907
272,billing had a small discrepancy,neutral,0.8311
273,the ordering experience felt slow at times,negative,0.8322
273,and tracking updates were not regular,neutral,0.693
274,the checkout process seemed smooth,positive,0.7016
274,and the app lagged during checkout,negative,0.8398
275,Everything was handled well,positive,0.7769
275,from order placement to final delivery,neutral,0.8423
276,using the app was frustrating,negative,0.8875
276,and refund processing was slower than promised which could be improved,negative,0.7531
277,billing and payment were a bit confusing,neutral,0.4992
277,everything worked fine,positive,0.7039
278,the ordering experience felt quite good,positive,0.9714
278,and the app lagged during checkout which slightly affected my experience,negative,0.8631
279,i found the buying process to be quite good,positive,0.9384
279,billing had a small discrepancy,neutral,0.8311
279,not a major concern,neutral,0.6826
280,using the app was slightly disappointing,negative,0.8907
280,payment failed once before succeeding,neutral,0.5795
281,using the app was fairly efficient,positive,0.8246
281,and tracking updates were not regular,neutral,0.693
282,the delivery experience turned out to be satisfactory,positive,0.9322
282,billing had a small discrepancy,neutral,0.8311
283,from browsing to delivery,neutral,0.84
283,the experience was pleasant,positive,0.9663
283,and the app lagged during checkout,negative,0.8398
284,using the app was fairly efficient,positive,0.8246
284,support eventually resolved the issue,neutral,0.6597
285,the delivery experience turned out to be inconsistent,negative,0.8114
285,the invoice was not easy to access which slightly affected my experience,negative,0.8552
286,From my experience,neutral,0.7509
286,customer support was decent,positive,0.8701
286,everything worked fine,positive,0.7039
287,the experience was frustrating,negative,0.895
287,the return pickup was delayed,negative,0.5779
288,customer support was quite good,positive,0.9558
288,and the app lagged during checkout which slightly affected my experience,negative,0.8631
289,using the app was slow at times,negative,0.6987
